Manufacturer,Model,Vendor Analyte Name,Vendor Specimen Description,Vendor Result Description,LOINC Code,LOINC long Name,Vendor Analyte Code,Vendor Comment,Vendor Reference ID,Equipment UID,Equipment UID Type,Component,Property,Time,System,Scale,Method,Publication Version ID
Bio-Rad Laboratories,SARS-CoV-2 ddPCR Test*,SARS-CoV-2 Result Interpretation,"anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)","Detected (260373001^Detected^SCT)
Not Detected (260415000^Not detected^SCT)
Invalid Result (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94533-7,SARS coronavirus 2 N gene [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200630
Bio-Rad Laboratories,Platelia SARS-CoV-2 Total Ab assay,SARS-CoV-2 total antibodies (IgM/IgA/IgG),"Serum (119364003^Serum specimen^SCT)
Plasma (119361006^Plasma specimen^SCT)","Positive (10828004^Positive^SCT)
Negative (260385009^Negative^SCT)
Equivocal (42425007^Equivocal^SCT or 419984006^Inconclusive^SCT)",94762-2,SARS coronavirus 2 Ab [Presence] in Serum or Plasma by Immunoassay,,,,,,SARS coronavirus 2 Ab,PrThr,Pt,Ser/Plas,Ord,IA,20200617
Bio-Rad,SARS-CoV-2 ddPCR Test*,SARS-CoV-2 Result Interpretation,"anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)","Detected (260373001^Detected^SCT)
Not Detected (260415000^Not detected^SCT)
Invalid Result (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94533-7,SARS coronavirus 2 N gene [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200630
Bio-Rad,Platelia SARS-CoV-2 Total Ab assay,SARS-CoV-2 total antibodies (IgM/IgA/IgG),"Serum (119364003^Serum specimen^SCT)
Plasma (119361006^Plasma specimen^SCT)","Positive (10828004^Positive^SCT)
Negative (260385009^Negative^SCT)
Equivocal (42425007^Equivocal^SCT or 419984006^Inconclusive^SCT)",94762-2,SARS coronavirus 2 Ab [Presence] in Serum or Plasma by Immunoassay,,,,,,SARS coronavirus 2 Ab,PrThr,Pt,Ser/Plas,Ord,IA,20200617
CDC,ABI 7500 Fast Dx Real-Time PCR Instrument,2019nCoV Result Interpretation," In upper and lower
respiratory specimens (such as
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
or
oropharyngeal swabs (258529004^Throat swab^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT))

APHL Note: 
later also allowed: nasal and pharyngeal swab combination (433801000124107^Nasopharyngeal and oropharyngeal swab^SCT)
NOT IN EUA, but per communications with APHL: on exception allow serum (119364003^Serum specimen^SCT), stool (119339001^Stool specimen^SCT), urine (122575003^Urine specimen^SCT)","Detected (260373001^Detected^SCT)
Not Detected (260415000^Not detected^SCT)
Presumptive Positive (720735008^Presumptive positive^SCT)
Invalid Result (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94309-2,SARS Coronavirus 2 RNA [Presence] in Unspecified specimen Qualitative by NAA with probe detection,,,,,,SARS Coronavirus 2 RNA,PrThr,PT,XXX,Ord,Probe.amp.tar,20200428
CDC,ABI 7500 Fast Dx Real-Time PCR Instrument,2019nCoV_N1," In upper and lower
respiratory specimens (such as
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
or
oropharyngeal swabs (258529004^Throat swab^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT))

APHL Note: 
later also allowed: nasal and pharyngeal swab combination (433801000124107^Nasopharyngeal and oropharyngeal swab^SCT)
NOT IN EUA, but per communications with APHL: on exception allow serum (119364003^Serum specimen^SCT), stool (119339001^Stool specimen^SCT), urine (122575003^Urine specimen^SCT)","+ (260373001^Detected^SCT)
- (260415000^Not Detected^SCT)",94307-6,SARS Coronavirus 2 N gene [Presence] in Unspecified specimen by Nucleic acid amplification using primer-probe set N1,,,,,,SARS Coronavirus 2 N gene,PrThr,PT,XXX,Ord,Probe.amp.tar.primer-probe set N1,20200428
CDC,ABI 7500 Fast Dx Real-Time PCR Instrument,2019nCoV_N2," In upper and lower
respiratory specimens (such as
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
or
oropharyngeal swabs (258529004^Throat swab^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT))

APHL Note: 
later also allowed: nasal and pharyngeal swab combination (433801000124107^Nasopharyngeal and oropharyngeal swab^SCT)
NOT IN EUA, but per communications with APHL: on exception allow serum (119364003^Serum specimen^SCT), stool (119339001^Stool specimen^SCT), urine (122575003^Urine specimen^SCT)","+ (260373001^Detected^SCT)
- (260415000^Not Detected^SCT)",94308-4,SARS Coronavirus 2 N gene [Presence] in Unspecified specimen by Nucleic acid amplification using primer-probe set N2,,,,,,SARS Coronavirus 2 N gene,PrThr,PT,XXX,Ord,Probe.amp.tar.primer-probe set N2,20200428
CDC,ABI 7500 Fast Dx Real-Time PCR Instrument,RP," In upper and lower
respiratory specimens (such as
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
or
oropharyngeal swabs (258529004^Throat swab^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT))

APHL Note: 
later also allowed: nasal and pharyngeal swab combination (433801000124107^Nasopharyngeal and oropharyngeal swab^SCT)
NOT IN EUA, but per communications with APHL: on exception allow serum (119364003^Serum specimen^SCT), stool (119339001^Stool specimen^SCT), urine (122575003^Urine specimen^SCT)","+ (260373001^Detected^SCT)
- (260415000^Not Detected^SCT)",68993-5,Human RNase P RNA [Presence] in Unspecified specimen by NAA with probe detection,,,,,,Human RNase P RNA,PrThr,PT,XXX,Ord,Probe.amp.tar,20200428
Centers for Disease Control and Prevention (CDC),ABI 7500 Fast Dx Real-Time PCR Instrument,2019nCoV Result Interpretation," In upper and lower
respiratory specimens (such as
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
or
oropharyngeal swabs (258529004^Throat swab^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT))

APHL Note: 
later also allowed: nasal and pharyngeal swab combination (433801000124107^Nasopharyngeal and oropharyngeal swab^SCT)
NOT IN EUA, but per communications with APHL: on exception allow serum (119364003^Serum specimen^SCT), stool (119339001^Stool specimen^SCT), urine (122575003^Urine specimen^SCT)","Detected (260373001^Detected^SCT)
Not Detected (260415000^Not detected^SCT)
Presumptive Positive (720735008^Presumptive positive^SCT)
Invalid Result (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94309-2,SARS Coronavirus 2 RNA [Presence] in Unspecified specimen Qualitative by NAA with probe detection,,,,,,SARS Coronavirus 2 RNA,PrThr,PT,XXX,Ord,Probe.amp.tar,20200428
Centers for Disease Control and Prevention (CDC),ABI 7500 Fast Dx Real-Time PCR Instrument,2019nCoV_N1," In upper and lower
respiratory specimens (such as
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
or
oropharyngeal swabs (258529004^Throat swab^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT))

APHL Note: 
later also allowed: nasal and pharyngeal swab combination (433801000124107^Nasopharyngeal and oropharyngeal swab^SCT)
NOT IN EUA, but per communications with APHL: on exception allow serum (119364003^Serum specimen^SCT), stool (119339001^Stool specimen^SCT), urine (122575003^Urine specimen^SCT)","+ (260373001^Detected^SCT)
- (260415000^Not Detected^SCT)",94307-6,SARS Coronavirus 2 N gene [Presence] in Unspecified specimen by Nucleic acid amplification using primer-probe set N1,,,,,,SARS Coronavirus 2 N gene,PrThr,PT,XXX,Ord,Probe.amp.tar.primer-probe set N1,20200428
Centers for Disease Control and Prevention (CDC),ABI 7500 Fast Dx Real-Time PCR Instrument,2019nCoV_N2," In upper and lower
respiratory specimens (such as
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
or
oropharyngeal swabs (258529004^Throat swab^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT))

APHL Note: 
later also allowed: nasal and pharyngeal swab combination (433801000124107^Nasopharyngeal and oropharyngeal swab^SCT)
NOT IN EUA, but per communications with APHL: on exception allow serum (119364003^Serum specimen^SCT), stool (119339001^Stool specimen^SCT), urine (122575003^Urine specimen^SCT)","+ (260373001^Detected^SCT)
- (260415000^Not Detected^SCT)",94308-4,SARS Coronavirus 2 N gene [Presence] in Unspecified specimen by Nucleic acid amplification using primer-probe set N2,,,,,,SARS Coronavirus 2 N gene,PrThr,PT,XXX,Ord,Probe.amp.tar.primer-probe set N2,20200428
Centers for Disease Control and Prevention (CDC),ABI 7500 Fast Dx Real-Time PCR Instrument,RP," In upper and lower
respiratory specimens (such as
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
or
oropharyngeal swabs (258529004^Throat swab^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT))

APHL Note: 
later also allowed: nasal and pharyngeal swab combination (433801000124107^Nasopharyngeal and oropharyngeal swab^SCT)
NOT IN EUA, but per communications with APHL: on exception allow serum (119364003^Serum specimen^SCT), stool (119339001^Stool specimen^SCT), urine (122575003^Urine specimen^SCT)","+ (260373001^Detected^SCT)
- (260415000^Not Detected^SCT)",68993-5,Human RNase P RNA [Presence] in Unspecified specimen by NAA with probe detection,,,,,,Human RNase P RNA,PrThr,PT,XXX,Ord,Probe.amp.tar,20200428
Centers for Disease Control and Prevention,ABI 7500 Fast Dx Real-Time PCR Instrument,2019nCoV Result Interpretation," In upper and lower
respiratory specimens (such as
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
or
oropharyngeal swabs (258529004^Throat swab^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT))

APHL Note: 
later also allowed: nasal and pharyngeal swab combination (433801000124107^Nasopharyngeal and oropharyngeal swab^SCT)
NOT IN EUA, but per communications with APHL: on exception allow serum (119364003^Serum specimen^SCT), stool (119339001^Stool specimen^SCT), urine (122575003^Urine specimen^SCT)","Detected (260373001^Detected^SCT)
Not Detected (260415000^Not detected^SCT)
Presumptive Positive (720735008^Presumptive positive^SCT)
Invalid Result (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94309-2,SARS Coronavirus 2 RNA [Presence] in Unspecified specimen Qualitative by NAA with probe detection,,,,,,SARS Coronavirus 2 RNA,PrThr,PT,XXX,Ord,Probe.amp.tar,20200428
Centers for Disease Control and Prevention,ABI 7500 Fast Dx Real-Time PCR Instrument,2019nCoV_N1," In upper and lower
respiratory specimens (such as
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
or
oropharyngeal swabs (258529004^Throat swab^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT))

APHL Note: 
later also allowed: nasal and pharyngeal swab combination (433801000124107^Nasopharyngeal and oropharyngeal swab^SCT)
NOT IN EUA, but per communications with APHL: on exception allow serum (119364003^Serum specimen^SCT), stool (119339001^Stool specimen^SCT), urine (122575003^Urine specimen^SCT)","+ (260373001^Detected^SCT)
- (260415000^Not Detected^SCT)",94307-6,SARS Coronavirus 2 N gene [Presence] in Unspecified specimen by Nucleic acid amplification using primer-probe set N1,,,,,,SARS Coronavirus 2 N gene,PrThr,PT,XXX,Ord,Probe.amp.tar.primer-probe set N1,20200428
Centers for Disease Control and Prevention,ABI 7500 Fast Dx Real-Time PCR Instrument,2019nCoV_N2," In upper and lower
respiratory specimens (such as
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
or
oropharyngeal swabs (258529004^Throat swab^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT))

APHL Note: 
later also allowed: nasal and pharyngeal swab combination (433801000124107^Nasopharyngeal and oropharyngeal swab^SCT)
NOT IN EUA, but per communications with APHL: on exception allow serum (119364003^Serum specimen^SCT), stool (119339001^Stool specimen^SCT), urine (122575003^Urine specimen^SCT)","+ (260373001^Detected^SCT)
- (260415000^Not Detected^SCT)",94308-4,SARS Coronavirus 2 N gene [Presence] in Unspecified specimen by Nucleic acid amplification using primer-probe set N2,,,,,,SARS Coronavirus 2 N gene,PrThr,PT,XXX,Ord,Probe.amp.tar.primer-probe set N2,20200428
Centers for Disease Control and Prevention,ABI 7500 Fast Dx Real-Time PCR Instrument,RP," In upper and lower
respiratory specimens (such as
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
or
oropharyngeal swabs (258529004^Throat swab^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT))

APHL Note: 
later also allowed: nasal and pharyngeal swab combination (433801000124107^Nasopharyngeal and oropharyngeal swab^SCT)
NOT IN EUA, but per communications with APHL: on exception allow serum (119364003^Serum specimen^SCT), stool (119339001^Stool specimen^SCT), urine (122575003^Urine specimen^SCT)","+ (260373001^Detected^SCT)
- (260415000^Not Detected^SCT)",68993-5,Human RNase P RNA [Presence] in Unspecified specimen by NAA with probe detection,,,,,,Human RNase P RNA,PrThr,PT,XXX,Ord,Probe.amp.tar,20200428
Cedars-Sinai Medical Center,LDT: SARS-CoV-2 Assay*,SARS-CoV-2 RNA,Nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT),"Detected  (260373001^Detected^SCT)
Not detected (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT)",94559-2,SARS coronavirus 2 ORF1ab region [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 ORF1ab region,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Cedars-Sinai Medical Center,SARS-CoV-2 Assay*,SARS-CoV-2 RNA,Nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT),"Detected  (260373001^Detected^SCT)
Not detected (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT)",94559-2,SARS coronavirus 2 ORF1ab region [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 ORF1ab region,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Cedars-Sinai,LDT: SARS-CoV-2 Assay*,SARS-CoV-2 RNA,Nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT),"Detected  (260373001^Detected^SCT)
Not detected (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT)",94559-2,SARS coronavirus 2 ORF1ab region [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 ORF1ab region,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Cedars-Sinai,SARS-CoV-2 Assay*,SARS-CoV-2 RNA,Nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT),"Detected  (260373001^Detected^SCT)
Not detected (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT)",94559-2,SARS coronavirus 2 ORF1ab region [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 ORF1ab region,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Cellex,qSARS-CoV-2 IgG/IgM Rapid Test*,IgG anti- SARS-CoV-2,"Serum (119364003^Serum specimen^SCT)
Plasma (119361006^Plasma specimen^SCT)
Whole Blood (258580003^Whole blood sample^SCT)","positive (10828004^Positive^SCT)
weakly positive (260408008^Weakly positive^SCT)
negative (260385009^Negative^SCT)
invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94507-1,SARS coronavirus 2 IgG Ab [Presence] in Serum or Plasma by Rapid immunoassay,,,,,,SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas,Ord,IA.rapid,20200428
Cellex,qSARS-CoV-2 IgG/IgM Rapid Test*,IgM anti-SARS-CoV-2,"Serum (119364003^Serum specimen^SCT)
Plasma (119361006^Plasma specimen^SCT)
Whole Blood (258580003^Whole blood sample^SCT)","positive (10828004^Positive^SCT)
weakly positive (260408008^Weakly positive^SCT)
negative (260385009^Negative^SCT)
invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94508-9,SARS coronavirus 2 IgM Ab [Presence] in Serum or Plasma by Rapid immunoassay,,,,,,SARS coronavirus 2 Ab.IgM,PrThr,Pt,Ser/Plas,Ord,IA.rapid,20200428
Centers for Disease Control and Prevention (CDC),Influenza SARS-CoV-2 (Flu SC2) Multiplex Assay*,Influenza SARS-CoV-2 Result Interpretation ,"upper or lower respiratory specimens such as
nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasal swabs (445297001^Swab of internal nose^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)
nasopharyngeal wash/aspirate (258467004^Nasopharyngeal washings^SCT or 258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)","influenza A RNA detected (407479009^Influenza A virus^SCT)
influenza B RNA detected (407480007^Influenza B virus^SCT)
SC2 RNA detected (840533007^Severe acute respiratory syndrome coronavirus 2^SCT)
influenza B and SC2 RNA detected (407480007^Influenza B virus^SCT and 840533007^Severe acute respiratory syndrome coronavirus 2^SCT)
influenza A and influenza B RNA detected (407479009^Influenza A virus^SCT and 407480007^Influenza B virus^SCT)
influenza A and SC2 RNA detected (407479009^Influenza A virus^SCT and 840533007^Severe acute respiratory syndrome coronavirus 2^SCT)
influenza A, influenza B and SC2 RNA detected (407479009^Influenza A virus^SCT and 407480007^Influenza B virus^SCT and 840533007^Severe acute respiratory syndrome coronavirus 2^SCT)
Not Detected (260415000^Not Detected^SCT)
Invalid result (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",95423-0,Influenza virus A + B and SARS-CoV-2 (COVID-19) identified in Respiratory specimen by NAA with probe detection,,,,,,Influenza virus A & Influenza virus B & SARS coronavirus 2 identified,Prid,Pt,Respiratory,Nom,Probe.amp.tar,20200707
Centers for Disease Control and Prevention,Influenza SARS-CoV-2 (Flu SC2) Multiplex Assay*,Influenza SARS-CoV-2 Result Interpretation ,"upper or lower respiratory specimens such as
nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasal swabs (445297001^Swab of internal nose^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)
nasopharyngeal wash/aspirate (258467004^Nasopharyngeal washings^SCT or 258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)","influenza A RNA detected (407479009^Influenza A virus^SCT)
influenza B RNA detected (407480007^Influenza B virus^SCT)
SC2 RNA detected (840533007^Severe acute respiratory syndrome coronavirus 2^SCT)
influenza B and SC2 RNA detected (407480007^Influenza B virus^SCT and 840533007^Severe acute respiratory syndrome coronavirus 2^SCT)
influenza A and influenza B RNA detected (407479009^Influenza A virus^SCT and 407480007^Influenza B virus^SCT)
influenza A and SC2 RNA detected (407479009^Influenza A virus^SCT and 840533007^Severe acute respiratory syndrome coronavirus 2^SCT)
influenza A, influenza B and SC2 RNA detected (407479009^Influenza A virus^SCT and 407480007^Influenza B virus^SCT and 840533007^Severe acute respiratory syndrome coronavirus 2^SCT)
Not Detected (260415000^Not Detected^SCT)
Invalid result (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",95423-0,Influenza virus A + B and SARS-CoV-2 (COVID-19) identified in Respiratory specimen by NAA with probe detection,,,,,,Influenza virus A & Influenza virus B & SARS coronavirus 2 identified,Prid,Pt,Respiratory,Nom,Probe.amp.tar,20200707
CDC,Influenza SARS-CoV-2 (Flu SC2) Multiplex Assay*,Influenza SARS-CoV-2 Result Interpretation ,"upper or lower respiratory specimens such as
nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasal swabs (445297001^Swab of internal nose^SCT)
sputum (119334006^Sputum specimen^SCT)
lower respiratory tract aspirates (309171007^Lower respiratory fluid sample^SCT)
bronchoalveolar lavage (258607008^Bronchoalveolar lavage fluid sample^SCT)
nasopharyngeal wash/aspirate (258467004^Nasopharyngeal washings^SCT or 258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)","influenza A RNA detected (407479009^Influenza A virus^SCT)
influenza B RNA detected (407480007^Influenza B virus^SCT)
SC2 RNA detected (840533007^Severe acute respiratory syndrome coronavirus 2^SCT)
influenza B and SC2 RNA detected (407480007^Influenza B virus^SCT and 840533007^Severe acute respiratory syndrome coronavirus 2^SCT)
influenza A and influenza B RNA detected (407479009^Influenza A virus^SCT and 407480007^Influenza B virus^SCT)
influenza A and SC2 RNA detected (407479009^Influenza A virus^SCT and 840533007^Severe acute respiratory syndrome coronavirus 2^SCT)
influenza A, influenza B and SC2 RNA detected (407479009^Influenza A virus^SCT and 407480007^Influenza B virus^SCT and 840533007^Severe acute respiratory syndrome coronavirus 2^SCT)
Not Detected (260415000^Not Detected^SCT)
Invalid result (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",95423-0,Influenza virus A + B and SARS-CoV-2 (COVID-19) identified in Respiratory specimen by NAA with probe detection,,,,,,Influenza virus A & Influenza virus B & SARS coronavirus 2 identified,Prid,Pt,Respiratory,Nom,Probe.amp.tar,20200707
"Centogene US, LLC",CentoFast-SARS-CoV-2 RT-PCR Assay*,SARS-CoV-2 Result Interpretation,dry oropharyngeal swabs (258529004^Throat swab^SCT),"Negative (260415000^Not Detected^SCT)
Positive (260373001^Detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,"The CentoFast-SARS-CoV-2 RT-PCR Assay reports a single result based on 2 tiered logic. Negatives are reported based on tier 1 (E gene only), whereas reporting of positives requires further confirmation in tier 2 (E gene plus RdRP gene). ",,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200707
Centogene US,CentoFast-SARS-CoV-2 RT-PCR Assay*,SARS-CoV-2 Result Interpretation,dry oropharyngeal swabs (258529004^Throat swab^SCT),"Negative (260415000^Not Detected^SCT)
Positive (260373001^Detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,"The CentoFast-SARS-CoV-2 RT-PCR Assay reports a single result based on 2 tiered logic. Negatives are reported based on tier 1 (E gene only), whereas reporting of positives requires further confirmation in tier 2 (E gene plus RdRP gene). ",,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200707
