measured_variable,codeset_id,unit,harmonized_unit,measurement_concept_name,conversion_formula
"D-Dimer, mg/L FEU",475972797,microgram of fibrinogen equivalent unit per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma by Immunoassay,x
"D-Dimer, mg/L FEU",475972797,picogram per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,x*0.000001
"D-Dimer, mg/L FEU",475972797,nanogram per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,x*0.001
"D-Dimer, mg/L FEU",475972797,nanogram of fibrinogen equivalent unit per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,x*0.001
"D-Dimer, mg/L FEU",475972797,milligram per liter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,x
"D-Dimer, mg/L FEU",475972797,milligram per deciliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,x*10
"D-Dimer, mg/L FEU",475972797,milligram of fibrinogen equivalent unit per liter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,x
"D-Dimer, mg/L FEU",475972797,microgram per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,x
"D-Dimer, mg/L FEU",475972797,Microgram per milliliter of FEU,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,x
"D-Dimer, mg/L FEU",475972797,microgram per liter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,x*0.00174
"D-Dimer, mg/L FEU",475972797,microgram of fibrinogen equivalent unit per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,x
"D-Dimer, mg/L FEU",475972797,nanogram per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer FEU [Mass/volume] in Blood by Immunoassay,x*0.001
"D-Dimer, mg/L FEU",475972797,nanogram of fibrinogen equivalent unit per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer FEU [Mass/volume] in Blood by Immunoassay,x*0.001
"D-Dimer, mg/L FEU",475972797,microgram of fibrinogen equivalent unit per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer FEU [Mass/volume] in Blood by Immunoassay,x
"D-Dimer, mg/L FEU",475972797,nanogram per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer DDU [Mass/volume] in Blood by Immunoassay,x*0.00174
"D-Dimer, mg/L FEU",475972797,microgram per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer DDU [Mass/volume] in Blood by Immunoassay,x*1.74
"D-Dimer, mg/L FEU",475972797,microgram of fibrinogen equivalent unit per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer DDU [Mass/volume] in Blood by Immunoassay,x
"D-Dimer, mg/L FEU",475972797,nanogram per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma by Immunoassay,x*0.00174
"D-Dimer, mg/L FEU",475972797,microgram per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma by Immunoassay,x*1.74
"D-Dimer, mg/L FEU",475972797,nanogram per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma,x*0.00174
"D-Dimer, mg/L FEU",475972797,milligram per liter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma,x*1.74
"D-Dimer, mg/L FEU",475972797,milligram of fibrinogen equivalent unit per liter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma,x
"D-Dimer, mg/L FEU",475972797,microgram per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma,x*1.74
"D-Dimer, mg/L FEU",475972797,microgram of fibrinogen equivalent unit per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma,x
"D-Dimer, mg/L FEU",475972797,nanogram per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer [Presence] in Platelet poor plasma,None
"D-Dimer, mg/L FEU",475972797,nanogram of fibrinogen equivalent unit per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer [Presence] in Platelet poor plasma,None
"D-Dimer, mg/L FEU",475972797,milligram per liter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer [Presence] in Platelet poor plasma,None
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Sitting diastolic blood pressure,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Sitting diastolic blood pressure,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Diastolic blood pressure,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Diastolic blood pressure,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Diastolic blood pressure--lying in L-lateral position,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Diastolic blood pressure--lying in L-lateral position,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Invasive Diastolic blood pressure,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Invasive Diastolic blood pressure,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Diastolic blood pressure by Noninvasive,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Diastolic blood pressure by Noninvasive,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Diastolic arterial pressure,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Diastolic arterial pressure,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,24 hour diastolic blood pressure,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,24 hour diastolic blood pressure,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Diastolic blood pressure--sitting,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Diastolic blood pressure--sitting,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Baseline diastolic blood pressure,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Baseline diastolic blood pressure,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Diastolic blood pressure on admission,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Diastolic blood pressure on admission,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Ambulatory diastolic blood pressure,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Ambulatory diastolic blood pressure,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Diastolic blood pressure centile,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Diastolic blood pressure centile,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Diastolic blood pressure--supine,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Diastolic blood pressure--supine,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Brachial artery Diastolic blood pressure,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Brachial artery Diastolic blood pressure,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Diastolic blood pressure by Continuous non-invasive monitoring,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Diastolic blood pressure by Continuous non-invasive monitoring,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Lying diastolic blood pressure,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Lying diastolic blood pressure,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Diastolic blood pressure of neonate at birth,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Diastolic blood pressure of neonate at birth,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Diastolic blood pressure--standing,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Diastolic blood pressure--standing,x
Diastolic blood pressure,658772723,mmHg,millimeter mercury column,Standing diastolic blood pressure,x
Diastolic blood pressure,658772723,millimeter,millimeter mercury column,Standing diastolic blood pressure,x
Eosinophils (absolute),296867571,thousand per milliliter,thousand per microliter,Eosinophils [#/volume] in Blood by Manual count,x*0.001
Eosinophils (absolute),296867571,thousand per liter,thousand per microliter,Eosinophils [#/volume] in Blood by Manual count,x*0.000001
Eosinophils (absolute),296867571,thousand per cubic millimeter,thousand per microliter,Eosinophils [#/volume] in Blood by Manual count,x
Eosinophils (absolute),296867571,per microliter,thousand per microliter,Eosinophils [#/volume] in Blood by Manual count,x*0.001
Eosinophils (absolute),296867571,million per microliter,thousand per microliter,Eosinophils [#/volume] in Blood by Manual count,x*1000
Eosinophils (absolute),296867571,cells per microliter,thousand per microliter,Eosinophils [#/volume] in Blood by Manual count,x*0.001
Eosinophils (absolute),296867571,billion per liter,thousand per microliter,Eosinophils [#/volume] in Blood by Manual count,x
Eosinophils (absolute),296867571,billion cells per liter,thousand per microliter,Eosinophils [#/volume] in Blood by Manual count,x
Eosinophils (absolute),296867571,10*9/L,thousand per microliter,Eosinophils [#/volume] in Blood by Manual count,x
Eosinophils (absolute),296867571,10*9 Platelets/L,thousand per microliter,Eosinophils [#/volume] in Blood by Manual count,x
Eosinophils (absolute),296867571,thousand per milliliter,thousand per microliter,Eosinophils [#/volume] in Blood by Automated count,x*0.001
Eosinophils (absolute),296867571,thousand per liter,thousand per microliter,Eosinophils [#/volume] in Blood by Automated count,x*0.000001
Eosinophils (absolute),296867571,thousand per cubic millimeter,thousand per microliter,Eosinophils [#/volume] in Blood by Automated count,x
Eosinophils (absolute),296867571,per microliter,thousand per microliter,Eosinophils [#/volume] in Blood by Automated count,x*0.001
Eosinophils (absolute),296867571,million per microliter,thousand per microliter,Eosinophils [#/volume] in Blood by Automated count,x*1000
Eosinophils (absolute),296867571,kilounit per liter,thousand per microliter,Eosinophils [#/volume] in Blood by Automated count,None
Eosinophils (absolute),296867571,cells per microliter,thousand per microliter,Eosinophils [#/volume] in Blood by Automated count,x*0.001
Eosinophils (absolute),296867571,billion per liter,thousand per microliter,Eosinophils [#/volume] in Blood by Automated count,x
Eosinophils (absolute),296867571,billion cells per liter,thousand per microliter,Eosinophils [#/volume] in Blood by Automated count,x
Eosinophils (absolute),296867571,10*9/L,thousand per microliter,Eosinophils [#/volume] in Blood by Automated count,x
Eosinophils (absolute),296867571,10*9 Platelets/L,thousand per microliter,Eosinophils [#/volume] in Blood by Automated count,x
Eosinophils (absolute),296867571,thousand per milliliter,thousand per microliter,Eosinophils [#/volume] in Blood,x*0.001
Eosinophils (absolute),296867571,thousand per liter,thousand per microliter,Eosinophils [#/volume] in Blood,x*0.000001
Eosinophils (absolute),296867571,thousand per cubic millimeter,thousand per microliter,Eosinophils [#/volume] in Blood,x
Eosinophils (absolute),296867571,per microliter,thousand per microliter,Eosinophils [#/volume] in Blood,x*0.001
Eosinophils (absolute),296867571,million per microliter,thousand per microliter,Eosinophils [#/volume] in Blood,x*1000
Eosinophils (absolute),296867571,cells per microliter,thousand per microliter,Eosinophils [#/volume] in Blood,x*0.001
Eosinophils (absolute),296867571,billion per liter,thousand per microliter,Eosinophils [#/volume] in Blood,x
Eosinophils (absolute),296867571,billion cells per liter,thousand per microliter,Eosinophils [#/volume] in Blood,x
Eosinophils (absolute),296867571,10*9/L,thousand per microliter,Eosinophils [#/volume] in Blood,x
Eosinophils (absolute),296867571,10*9 Platelets/L,thousand per microliter,Eosinophils [#/volume] in Blood,x
Eosinophils (relative),309381426,percent total,percent,Eosinophils/100 leukocytes in Blood by Manual count,x
Eosinophils (relative),309381426,percent total,percent,Eosinophils/100 leukocytes in Blood,x
Eosinophils (relative),309381426,percent total,percent,Eosinophils/100 leukocytes in Blood by Automated count,x
"Erythrocyte Sed. Rate, mm/hr",905545362,millimeter,millimeter per hour,Erythrocyte sedimentation rate,x
"Erythrocyte Sed. Rate, mm/hr",905545362,millimeter,millimeter per hour,Erythrocyte sedimentation rate by Westergren method,x
"Erythrocyte Sed. Rate, mm/hr",905545362,millimeter,millimeter per hour,Erythrocyte sedimentation rate by Wintrobe method,x
"Ferritin, ng/mL",317388455,picogram per milliliter,nanogram per milliliter,Ferritin [Mass/volume] in Blood,x*0.001
"Ferritin, ng/mL",317388455,nanogram per deciliter,nanogram per milliliter,Ferritin [Mass/volume] in Blood,x*0.01
"Ferritin, ng/mL",317388455,milligram per milliliter,nanogram per milliliter,Ferritin [Mass/volume] in Blood,x*1000000
"Ferritin, ng/mL",317388455,milligram per deciliter,nanogram per milliliter,Ferritin [Mass/volume] in Blood,x*10000
"Ferritin, ng/mL",317388455,microgram per milliliter,nanogram per milliliter,Ferritin [Mass/volume] in Blood,x*1000
"Ferritin, ng/mL",317388455,microgram per liter,nanogram per milliliter,Ferritin [Mass/volume] in Blood,x
"Ferritin, ng/mL",317388455,microgram per deciliter,nanogram per milliliter,Ferritin [Mass/volume] in Blood,x*10
"Ferritin, ng/mL",317388455,picogram per milliliter,nanogram per milliliter,Ferritin [Mass/volume] in Serum or Plasma by Immunoassay,x*0.001
"Ferritin, ng/mL",317388455,nanogram per deciliter,nanogram per milliliter,Ferritin [Mass/volume] in Serum or Plasma by Immunoassay,x*0.01
"Ferritin, ng/mL",317388455,milligram per milliliter,nanogram per milliliter,Ferritin [Mass/volume] in Serum or Plasma by Immunoassay,x*1000000
"Ferritin, ng/mL",317388455,milligram per deciliter,nanogram per milliliter,Ferritin [Mass/volume] in Serum or Plasma by Immunoassay,x*10000
"Ferritin, ng/mL",317388455,microgram per milliliter,nanogram per milliliter,Ferritin [Mass/volume] in Serum or Plasma by Immunoassay,x*1000
"Ferritin, ng/mL",317388455,microgram per liter,nanogram per milliliter,Ferritin [Mass/volume] in Serum or Plasma by Immunoassay,x
"Ferritin, ng/mL",317388455,microgram per deciliter,nanogram per milliliter,Ferritin [Mass/volume] in Serum or Plasma by Immunoassay,x*10
"Ferritin, ng/mL",317388455,picogram per milliliter,nanogram per milliliter,Ferritin [Mass/volume] in Serum or Plasma,x*0.001
"Ferritin, ng/mL",317388455,nanogram per deciliter,nanogram per milliliter,Ferritin [Mass/volume] in Serum or Plasma,x*0.01
"Ferritin, ng/mL",317388455,milligram per milliliter,nanogram per milliliter,Ferritin [Mass/volume] in Serum or Plasma,x*1000000
"Ferritin, ng/mL",317388455,milligram per liter,nanogram per milliliter,Ferritin [Mass/volume] in Serum or Plasma,x*1000
"Ferritin, ng/mL",317388455,milligram per deciliter,nanogram per milliliter,Ferritin [Mass/volume] in Serum or Plasma,x*10000
"Ferritin, ng/mL",317388455,microgram per milliliter,nanogram per milliliter,Ferritin [Mass/volume] in Serum or Plasma,x*1000
"Ferritin, ng/mL",317388455,microgram per liter,nanogram per milliliter,Ferritin [Mass/volume] in Serum or Plasma,x
"Ferritin, ng/mL",317388455,microgram per deciliter,nanogram per milliliter,Ferritin [Mass/volume] in Serum or Plasma,x*10
"Ferritin, ng/mL",317388455,picogram per milliliter,nanogram per milliliter,Ferritin [Moles/volume] in Serum or Plasma,x*0.001
"Ferritin, ng/mL",317388455,nanogram per deciliter,nanogram per milliliter,Ferritin [Moles/volume] in Serum or Plasma,x*0.01
"Ferritin, ng/mL",317388455,milligram per milliliter,nanogram per milliliter,Ferritin [Moles/volume] in Serum or Plasma,x*1000000
"Ferritin, ng/mL",317388455,milligram per deciliter,nanogram per milliliter,Ferritin [Moles/volume] in Serum or Plasma,x*10000
"Ferritin, ng/mL",317388455,microgram per milliliter,nanogram per milliliter,Ferritin [Moles/volume] in Serum or Plasma,x*1000
"Ferritin, ng/mL",317388455,microgram per liter,nanogram per milliliter,Ferritin [Moles/volume] in Serum or Plasma,x
"Ferritin, ng/mL",317388455,microgram per deciliter,nanogram per milliliter,Ferritin [Moles/volume] in Serum or Plasma,x*10
"Ferritin, ng/mL",317388455,picogram per milliliter,nanogram per milliliter,Ferritin [Interpretation] in Blood,x*0.001
"Ferritin, ng/mL",317388455,nanogram per deciliter,nanogram per milliliter,Ferritin [Interpretation] in Blood,x*0.01
"Ferritin, ng/mL",317388455,milligram per milliliter,nanogram per milliliter,Ferritin [Interpretation] in Blood,x*1000000
"Ferritin, ng/mL",317388455,milligram per deciliter,nanogram per milliliter,Ferritin [Interpretation] in Blood,x*10000
"Ferritin, ng/mL",317388455,microgram per milliliter,nanogram per milliliter,Ferritin [Interpretation] in Blood,x*1000
"Ferritin, ng/mL",317388455,microgram per liter,nanogram per milliliter,Ferritin [Interpretation] in Blood,x
"Ferritin, ng/mL",317388455,microgram per deciliter,nanogram per milliliter,Ferritin [Interpretation] in Blood,x*10
"Fibrinogen, pg/mL",27035875,picogram per milliliter,milligram per deciliter,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,x*0.0000001
"Fibrinogen, pg/mL",27035875,picogram per milliliter,milligram per deciliter,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation.derived,x*0.0000001
"Fibrinogen, pg/mL",27035875,picogram per milliliter,milligram per deciliter,Fibrinogen; activity,x*0.0000001
"Fibrinogen, pg/mL",27035875,picogram per milliliter,milligram per deciliter,Fibrinogen measurement,x*0.0000001
"Glucose, mg/dL",59698832,millimole per liter,milligram per deciliter,Glucose [Mass/volume] in Blood,x*18.02
"Glucose, mg/dL",59698832,milligram per milliliter,milligram per deciliter,Glucose [Mass/volume] in Blood,x*100
Heart rate,596956209,per minute,counts per minute,Heart rate,x
Heart rate,596956209,minute,counts per minute,Heart rate,x
Heart rate,596956209,heartbeat,counts per minute,Heart rate,x
Heart rate,596956209,per minute,counts per minute,Pulse rate,x
Height,754731201,inch (international),meter,Body height Stated,x*0.0254
Height,754731201,inch (international),meter,Body height measure,x*0.0254
Height,754731201,centimeter,meter,Body height measure,x*0.01
Height,754731201,Inches,meter,Body height --standing,x*0.0254
Height,754731201,Inches,meter,Body height,x*0.0254
Height,754731201,inch (US),meter,Body height,x*0.0254
Height,754731201,inch (international),meter,Body height,x*0.0254
Height,754731201,centimeter,meter,Body height,x*0.01
Height,754731201,Inches,meter,Body height Measured,x*0.0254
Height,754731201,inch (US),meter,Body height Measured,x*0.0254
Height,754731201,inch (international),meter,Body height Measured,x*0.0254
Height,754731201,centimeter,meter,Body height Measured,x*0.01
"Hemoglobin A1c, %",381434987,percent hemoglobin,percent,Hemoglobin A1c/Hemoglobin.total in Blood by HPLC,x
"Hemoglobin A1c, %",381434987,percent total,percent,Hemoglobin A1c/Hemoglobin.total in Blood,x
"Hemoglobin A1c, %",381434987,percent hemoglobin,percent,Hemoglobin A1c/Hemoglobin.total in Blood,x
"Hemoglobin, g/dL",28177118,picogram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Arterial blood,x*0.0000000001
"Hemoglobin, g/dL",28177118,picogram per deciliter,gram per deciliter,Hemoglobin [Mass/volume] in Arterial blood,x*0.000000000001
"Hemoglobin, g/dL",28177118,nanogram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Arterial blood,x*0.0000001
"Hemoglobin, g/dL",28177118,milligram per deciliter,gram per deciliter,Hemoglobin [Mass/volume] in Arterial blood,x*0.001
"Hemoglobin, g/dL",28177118,microgram per deciliter,gram per deciliter,Hemoglobin [Mass/volume] in Arterial blood,x*0.000001
"Hemoglobin, g/dL",28177118,gram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Arterial blood,x*100
"Hemoglobin, g/dL",28177118,gram per liter,gram per deciliter,Hemoglobin [Mass/volume] in Arterial blood,x*0.1
"Hemoglobin, g/dL",28177118,picogram per milliliter,gram per deciliter,Hemoglobin [Moles/volume] in Blood,x*0.0000000001
"Hemoglobin, g/dL",28177118,picogram per deciliter,gram per deciliter,Hemoglobin [Moles/volume] in Blood,x*0.000000000001
"Hemoglobin, g/dL",28177118,nanogram per milliliter,gram per deciliter,Hemoglobin [Moles/volume] in Blood,x*0.0000001
"Hemoglobin, g/dL",28177118,microgram per deciliter,gram per deciliter,Hemoglobin [Moles/volume] in Blood,x*0.000001
"Hemoglobin, g/dL",28177118,gram per milliliter,gram per deciliter,Hemoglobin [Moles/volume] in Blood,x*100
"Hemoglobin, g/dL",28177118,gram per liter,gram per deciliter,Hemoglobin [Moles/volume] in Blood,x*0.1
"Hemoglobin, g/dL",28177118,picogram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Blood,x*0.0000000001
"Hemoglobin, g/dL",28177118,picogram per deciliter,gram per deciliter,Hemoglobin [Mass/volume] in Blood,x*0.000000000001
"Hemoglobin, g/dL",28177118,nanogram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Blood,x*0.0000001
"Hemoglobin, g/dL",28177118,milligram per deciliter,gram per deciliter,Hemoglobin [Mass/volume] in Blood,x*0.001
"Hemoglobin, g/dL",28177118,microgram per deciliter,gram per deciliter,Hemoglobin [Mass/volume] in Blood,x*0.000001
"Hemoglobin, g/dL",28177118,gram percent,gram per deciliter,Hemoglobin [Mass/volume] in Blood,x
"Hemoglobin, g/dL",28177118,gram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Blood,x*100
"Hemoglobin, g/dL",28177118,gram per liter,gram per deciliter,Hemoglobin [Mass/volume] in Blood,x*0.1
"Hemoglobin, g/dL",28177118,picogram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Venous blood,x*0.0000000001
"Hemoglobin, g/dL",28177118,picogram per deciliter,gram per deciliter,Hemoglobin [Mass/volume] in Venous blood,x*0.000000000001
"Hemoglobin, g/dL",28177118,nanogram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Venous blood,x*0.0000001
"Hemoglobin, g/dL",28177118,milligram per deciliter,gram per deciliter,Hemoglobin [Mass/volume] in Venous blood,x*0.001
"Hemoglobin, g/dL",28177118,microgram per deciliter,gram per deciliter,Hemoglobin [Mass/volume] in Venous blood,x*0.000001
"Hemoglobin, g/dL",28177118,gram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Venous blood,x*100
"Hemoglobin, g/dL",28177118,gram per liter,gram per deciliter,Hemoglobin [Mass/volume] in Venous blood,x*0.1
"Hemoglobin, g/dL",28177118,picogram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Capillary blood,x*0.0000000001
"Hemoglobin, g/dL",28177118,picogram per deciliter,gram per deciliter,Hemoglobin [Mass/volume] in Capillary blood,x*0.000000000001
"Hemoglobin, g/dL",28177118,nanogram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Capillary blood,x*0.0000001
"Hemoglobin, g/dL",28177118,milligram per deciliter,gram per deciliter,Hemoglobin [Mass/volume] in Capillary blood,x*0.001
"Hemoglobin, g/dL",28177118,microgram per deciliter,gram per deciliter,Hemoglobin [Mass/volume] in Capillary blood,x*0.000001
"Hemoglobin, g/dL",28177118,gram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Capillary blood,x*100
"Hemoglobin, g/dL",28177118,gram per liter,gram per deciliter,Hemoglobin [Mass/volume] in Capillary blood,x*0.1
"Hemoglobin, g/dL",28177118,picogram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Blood by Oximetry,x*0.0000000001
"Hemoglobin, g/dL",28177118,picogram per deciliter,gram per deciliter,Hemoglobin [Mass/volume] in Blood by Oximetry,x*0.000000000001
"Hemoglobin, g/dL",28177118,nanogram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Blood by Oximetry,x*0.0000001
"Hemoglobin, g/dL",28177118,milligram per deciliter,gram per deciliter,Hemoglobin [Mass/volume] in Blood by Oximetry,x*0.001
"Hemoglobin, g/dL",28177118,microgram per deciliter,gram per deciliter,Hemoglobin [Mass/volume] in Blood by Oximetry,x*0.000001
"Hemoglobin, g/dL",28177118,gram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Blood by Oximetry,x*100
"Hemoglobin, g/dL",28177118,gram per liter,gram per deciliter,Hemoglobin [Mass/volume] in Blood by Oximetry,x*0.1
"Hemoglobin, g/dL",28177118,picogram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Mixed venous blood,x*0.0000000001
"Hemoglobin, g/dL",28177118,picogram per deciliter,gram per deciliter,Hemoglobin [Mass/volume] in Mixed venous blood,x*0.000000000001
"Hemoglobin, g/dL",28177118,nanogram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Mixed venous blood,x*0.0000001
"Hemoglobin, g/dL",28177118,microgram per deciliter,gram per deciliter,Hemoglobin [Mass/volume] in Mixed venous blood,x*0.000001
"Hemoglobin, g/dL",28177118,gram per milliliter,gram per deciliter,Hemoglobin [Mass/volume] in Mixed venous blood,x*100
"Hemoglobin, g/dL",28177118,gram per liter,gram per deciliter,Hemoglobin [Mass/volume] in Mixed venous blood,x*0.1
HIV Viral Load,776696816,international unit per milliliter,copies per milliliter,HIV 1 RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,x*1.74
HIV Viral Load,776696816,international unit per liter,copies per milliliter,HIV 1 RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,x*0.00174
HIV Viral Load,776696816,international unit per milliliter,copies per milliliter,HIV 1 RNA [Units/volume] (viral load) in Serum or Plasma by Probe with amplification,x*1.74
HIV Viral Load,776696816,copies per liter,copies per milliliter,HIV 1 RNA [#/volume] (viral load) in Plasma by Probe and target amplification method detection limit = 20 copies/mL,x*0.001
HIV Viral Load,776696816,log copies per milliliter,copies per milliliter,HIV 1 RNA [Log #/volume] (viral load) in Serum or Plasma by Probe and target amplification method detection limit = 1.7 log copies/mL,10**x
HIV Viral Load,776696816,log copies per milliliter,copies per milliliter,HIV 1 RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,10**x
HIV Viral Load,776696816,international unit per milliliter,copies per milliliter,HIV 1 RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,x*1.74
HIV Viral Load,776696816,copies per liter,copies per milliliter,HIV 1 RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,x*0.001
HIV Viral Load,776696816,log copies per milliliter,copies per milliliter,HIV 1 RNA [Log #/volume] (viral load) in Plasma by Probe with signal amplification,10**x
HIV Viral Load,776696816,log copies per milliliter,copies per milliliter,HIV 1 RNA [Log #/volume] (viral load) in Serum or Plasma by Probe with amplification detection limit = 2.6 log copies/mL,10**x
HIV Viral Load,776696816,log copies per milliliter,copies per milliliter,HIV 1 RNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection,10**x
HIV Viral Load,776696816,log copies per milliliter,copies per milliliter,HIV 1 RNA [Log #/volume] (viral load) in Serum or Plasma by Probe and target amplification method detection limit = 0.5 log copies/mL,10**x
"Lactate Dehydrogenase (LDH), units/L",10450810,international unit per liter,unit per liter,Lactate dehydrogenase 2 enzyme activity in plasma,x
"Lactate Dehydrogenase (LDH), units/L",10450810,international unit per liter,unit per liter,Lactate dehydrogenase 5 [Enzymatic activity/volume] in Serum or Plasma,x
"Lactate Dehydrogenase (LDH), units/L",10450810,international unit per liter,unit per liter,Lactate dehydrogenase 3 enzyme activity in plasma,x
"Lactate Dehydrogenase (LDH), units/L",10450810,international unit per liter,unit per liter,Lactate dehydrogenase 5 enzyme activity in plasma,x
"Lactate Dehydrogenase (LDH), units/L",10450810,international unit per liter,unit per liter,Lactate dehydrogenase 4 enzyme activity in plasma,x
"Lactate Dehydrogenase (LDH), units/L",10450810,international unit per liter,unit per liter,Lactate dehydrogenase 4 [Enzymatic activity/volume] in Serum or Plasma,x
